id,idx
DBLP:conf/icmc/YeoB05,220
icmc/bbp2372.2015.072,221
icmc/bbp2372.2017.087,222
icmc/bbp2372.2017.087,223
Wil96:Lis,224
Pau04:ATo,225
Lod98:MUS,226
Bei09:Aes,227
Her14:Aso,228
DBLP:conf/icad/2007/Worral,229
DBLP:conf/icad/2003/Walker,230
domenico_vicinanza_2006_849321,231
icmc/bbp2372.1978.012,232
Bux77:Aco,233
icmc/bbp2372.1978.012,234
DBLP:conf/icmc/BuxtonPRB80,235
DBLP:conf/icmc/BuxtonFBRSCM78,236
DBLP:conf/icmc/BuxtonFBRSCM78,237
youtube/buxton10,238
DBLP:conf/icmc/BuxtonFBRSCM78,239
Xen92:For,240
Tru73:The,241
icmc/bbp2372.1978.012,242
icmc/bbp2372.1978.012,243
icmc/bbp2372.1978.012,244
youtube/buxton16,245
Flu11:Int,246
Flu11:Int,247
Flu11:Int,248
Flu11:Int,249
icmc/bbp2372.1987.046,250
DBLP:conf/icmc/FreeV86,251
icmc/bbp2372.1987.046,252
DBLP:conf/icmc/FreeV88,253
DBLP:conf/icmc/FreeV86,254
DBLP:conf/icmc/FreeV88,255
DBLP:conf/icmc/FreeV88,256
DBLP:conf/icmc/FreeV88,257
Tru80:The,258
laske_otto_1999,259
Tru76:ACo,260
Tru73:The,261
Tru76:ACo,262
Tru80:The,263
Emm86:The,264
Emm86:The,265
Emm86:The,266
DBLP:conf/ismir/Sapp05,267
Selfridge-Field:1997:BMH:275928,268
icmc/bbp2372.1983.002,269
10.2307/30204239,270
smith1971,271
scoremus,272
icmc/bbp2372.1980.020,273
icmc/bbp2372.1987.045,274
10.2307/941442,275
10.2307/940555,276
icmc/bbp2372.1981.018,277
score11manual,278
csoundMethods,279
icmc/bbp2372.1983.002,280
icmc/bbp2372.1984.033,281
icmc/bbp2372.1988.020,282
10.2307/3680043,283
icmc/bbp2372.1988.020,284
diener1985,285
icmc/bbp2372.1988.020,286
DBLP:conf/icmc/Diener92,287
smith1971,288
DBLP:conf/icmc/PucketteVS81,289
Loy85:Mus,290
Ver84:The,291
Puc91:Som,292
DBLP:conf/icmc/Puckette86,293
DBLP:conf/icmc/Puckette86,294
DBLP:conf/icmc/Puckette86,295
DBLP:conf/icmc/Puckette86,296
DBLP:journals/comj/Puckette02,297
DBLP:conf/icmc/Scaletti87,298
DBLP:conf/icmc/Scaletti87,299
DBLP:conf/icmc/Scaletti87,300
DBLP:conf/icmc/Scaletti87,301
DBLP:conf/icmc/RosenboomP85,302
DBLP:conf/icmc/RosenboomP85,303
DBLP:conf/icmc/Scaletti87,304
DBLP:conf/icmc/RodetBCP82,305
